Z,N,A,actual_binding_energy_per_A_keV,uam_v4_prediction_keV_per_A,frdm2012_prediction_keV_per_A,uam_v4_residual_keV_per_A,frdm2012_residual_keV_per_A,uam_v4_absolute_residual_keV_per_A,frdm2012_absolute_residual_keV_per_A,lower_error_model
89,131,220,7692.3515,7693.075043640329,7692.636363636364,0.7235436403288986,0.2848636363642072,0.7235436403288986,0.2848636363642072,FRDM2012
89,132,221,7690.5039,7690.4690070539955,7690.27149321267,-0.034892946004219993,-0.23240678732963715,0.034892946004219993,0.23240678732963715,UAM_V4
89,133,222,7682.8015,7682.037249126074,7682.1621621621625,-0.7642508739254481,-0.6393378378370471,0.7642508739254481,0.6393378378370471,FRDM2012
89,134,223,7679.1479,7678.929563587277,7678.654708520179,-0.21833641272314708,-0.49319147982077993,0.21833641272314708,0.49319147982077993,UAM_V4
89,135,224,7670.1438,7670.391296655083,7669.375,0.24749665508352336,-0.7687999999998283,0.24749665508352336,0.7687999999998283,UAM_V4
89,136,225,7665.6906,7665.954217834168,7664.488888888889,0.2636178341681443,-1.2017111111108534,0.2636178341681443,1.2017111111108534,UAM_V4
89,137,226,7655.6628,7655.5238504014205,7653.982300884956,-0.13894959857952927,-1.6804991150438582,0.13894959857952927,1.6804991150438582,UAM_V4
89,138,227,7650.7084,7650.262029678699,7648.105726872247,-0.4463703213014014,-2.6026731277534054,0.4463703213014014,2.6026731277534054,UAM_V4
89,139,228,7639.1973,7639.327826747053,7637.587719298245,0.13052674705340905,-1.6095807017545667,0.13052674705340905,1.6095807017545667,UAM_V4
89,140,229,7633.2446,7633.718304760719,7631.441048034934,0.47370476071864687,-1.803551965065708,0.47370476071864687,1.803551965065708,UAM_V4
89,141,230,7621.4604,7621.457359639189,7620.304347826087,-0.003040360810700804,-1.15605217391294,0.003040360810700804,1.15605217391294,UAM_V4
89,142,231,7615.0768,7614.933094976617,7613.679653679654,-0.1437050233826085,-1.3971463203461099,0.1437050233826085,1.3971463203461099,UAM_V4
89,143,232,7602.4245,7602.661373587526,7601.810344827586,0.23687358752613363,-0.61415517241403,0.23687358752613363,0.61415517241403,UAM_V4
89,144,233,7595.1939,7595.189741379275,7594.034334763948,-0.004158620725320361,-1.1595652360520035,0.004158620725320361,1.1595652360520035,UAM_V4
89,145,234,7582.1297,7580.886644860549,7581.538461538462,-1.243055139451826,-0.5912384615385236,1.243055139451826,0.5912384615385236,FRDM2012
