A,N,N_minus_Z,Q_2beta_minus_calculable,Q_2beta_minus_estimated,Q_2beta_minus_keV,Q_2beta_minus_unc_keV,Q_4beta_minus_calculable,Q_4beta_minus_estimated,Q_4beta_minus_keV,Q_4beta_minus_unc_keV,Q_alpha_calculable,Q_alpha_estimated,Q_alpha_keV,Q_alpha_unc_keV,Q_beta_minus_n_calculable,Q_beta_minus_n_estimated,Q_beta_minus_n_keV,Q_beta_minus_n_unc_keV,Q_d_alpha_calculable,Q_d_alpha_estimated,Q_d_alpha_keV,Q_d_alpha_unc_keV,Q_ep_calculable,Q_ep_estimated,Q_ep_keV,Q_ep_unc_keV,Q_n_alpha_calculable,Q_n_alpha_estimated,Q_n_alpha_keV,Q_n_alpha_unc_keV,Q_p_alpha_calculable,Q_p_alpha_estimated,Q_p_alpha_keV,Q_p_alpha_unc_keV,S_2n_calculable,S_2n_estimated,S_2n_keV,S_2n_unc_keV,S_2p_calculable,S_2p_estimated,S_2p_keV,S_2p_unc_keV,S_n_calculable,S_n_estimated,S_n_keV,S_n_unc_keV,S_p_calculable,S_p_estimated,S_p_keV,S_p_unc_keV,Symbol,Z,atomic_mass_estimated,atomic_mass_micro_u,atomic_mass_u,atomic_mass_unc_micro_u,beta_decay_energy_estimated,beta_decay_energy_keV,beta_decay_energy_unc_keV,beta_decay_mode,binding_energy_per_A_estimated,binding_energy_per_A_keV,binding_energy_per_A_unc_keV,decay_modes,discovery_year,half_life_estimated,half_life_raw,half_life_s,half_life_unc_raw,half_life_unit,mass_excess_estimated,mass_excess_keV,mass_excess_unc_keV,origin,source_dataset,source_file,spin_parity,spin_parity_measured,spin_parity_systematics
7,4,1,True,False,-12769.4481,25.1503,False,False,,,True,False,-2467.6221,0.0042,True,False,-11539.2472,5.4478,True,False,14386.6777,20.0,True,False,-34257.591,254.1268,True,False,-4067.6222,100.0,True,False,17346.244,0.0042,True,False,12914.4184,50.0,True,False,32563.2846,89.4427,True,False,7251.0939,0.0045,True,False,9973.9616,0.0531,Li,3,False,16003.43426,7.01600343426,0.0045,False,-861.893,0.0707,B-,False,5606.4401,0.0006,IS=95.15 171,1921,False,stbl,inf,,,False,14907.10463,0.00419,,AME2020,mass_1.mas20,3/2-*,True,False
7,3,-1,False,False,,,False,False,,,True,False,-1587.1371,0.0708,True,True,-39622.0,2003.0,True,False,14800.9178,50.0001,True,False,-9112.0686,0.0884,True,False,18990.484,0.0708,True,False,-4690.137,212.132,True,True,37512.0,2003.0,True,False,10040.1785,20.0001,True,False,10677.3542,5.4482,True,False,5606.8539,0.0709,Be,4,False,16928.714,7.016928714,0.076,False,-11907.5551,25.1504,B-,False,5371.5487,0.0101,EC=100,1938,False,53.22,4598208.0,0.06,d,False,15768.998,0.071,,AME2020,mass_1.mas20,3/2-,False,False
7,2,-3,False,False,,,False,False,,,True,True,-3415.0,2000.0,False,False,,,True,True,1249.0,2003.0,True,False,6300.7013,25.1503,True,False,7999.7651,213.6177,False,False,,,False,False,,,True,False,-1419.7238,55.9691,True,True,27715.0,2003.0,True,False,-2012.5479,25.7336,B,5,False,29712.0,7.029712,27.0,False,,,B-,False,3558.7055,3.5929,p=100,1967,False,570,5.7e-22,14,ys,False,27676.553,25.15,p4n,AME2020,mass_1.mas20,(3/2-),False,False
8,6,4,True,False,26668.0112,0.0955,True,False,-3454.5863,18.2435,False,False,,,True,False,8631.2602,0.0887,True,False,444.7654,254.1268,False,False,,,False,False,,,True,False,3581.291,89.4428,True,False,2125.0484,0.1034,False,False,,,True,False,2534.7627,7.56,True,True,24814.0,1004.0,He,2,False,33934.388,8.033934388,0.095,False,10663.8784,0.1005,B-,False,3924.521,0.0111,B-=100;B-n=16 1;B-t=0.9 1,1965,False,119.5,0.11950000000000001,1.5,ms,False,31609.683,0.089,,AME2020,mass_1.mas20,0+,False,False
8,5,2,True,False,-1975.7645,1.001,False,False,,,True,False,-6100.2403,100.0,True,False,-2894.5112,0.085,True,False,14064.5164,0.0711,True,True,-35478.0,1004.0,True,False,-6300.2404,89.4427,True,False,14578.6257,20.0001,True,False,9283.712,0.0474,True,False,35507.8621,254.1268,True,False,2032.6182,0.0472,True,False,12416.2941,7.5596,Li,3,False,22486.244,8.022486244,0.05,False,16004.1329,0.0591,B-,False,5159.7124,0.0059,B-=100;B-A=100,1935,False,838.7,0.8387000000000001,0.3,ms,False,20945.805,0.047,,AME2020,mass_1.mas20,2+,False,False
8,4,0,True,False,-30122.5975,18.243,False,False,,,True,False,91.8399,0.0354,True,False,-30806.1992,25.1504,True,False,1565.5983,0.0354,True,False,-28420.4269,7.5596,True,False,-643.1601,20.0,True,False,-1873.16,50.0,True,False,29575.9983,5.4479,True,False,27228.3656,0.0639,True,False,18898.644,0.0792,True,False,17254.404,0.0356,Be,4,False,5305.102,8.005305102,0.037,False,-17979.8973,1.0005,B-,False,7062.4356,0.0044,A=100,1932,False,81.9,8.190000000000001e-17,3.7,as,False,4941.672,0.035,-a,AME2020,mass_1.mas20,0+,False,False
8,3,-2,False,False,,,False,False,,,True,False,-4826.5368,212.1344,False,False,,,True,False,15257.3422,5.5388,True,False,725.4933,0.9999,True,False,16889.0843,50.01,True,True,-9353.0,2003.0,True,True,40541.0,2003.0,True,False,5743.2536,0.9999,True,False,12826.3018,25.1702,True,False,136.3997,1.0024,B,5,False,24607.315,8.024607315,1.073,False,-12142.7002,18.2704,B-,False,4717.1551,0.125,B+=100;B+A=100,1950,False,771.9,0.7719,0.9,ms,False,22921.569,1.0,,AME2020,mass_1.mas20,2+,False,False
8,2,-4,False,False,,,False,False,,,False,False,,,False,False,,,True,True,-1545.0,2003.0,True,False,12006.3005,18.2431,True,True,3572.0,2003.0,False,False,,,False,False,,,True,False,-2111.2932,19.039,False,False,,,True,False,-98.7453,31.07,C,6,False,37643.039,8.037643039,19.584,False,,,B-,False,3101.5242,2.2804,2p=100,1974,False,3.5,3.4999999999999996e-21,1.4,zs,False,35064.269,18.243,,AME2020,mass_1.mas20,0+,False,False
9,7,5,True,False,29587.3755,46.8165,True,False,12024.8551,46.8652,False,False,,,True,False,11918.7038,46.8165,True,True,2512.0,1005.0,False,False,,,False,False,,,True,False,3924.157,258.4032,True,False,1279.9373,47.4229,False,False,,,True,False,-1254.8254,46.8165,False,False,,,He,2,False,43946.414,9.043946414,50.259,False,15980.9213,46.8169,B-,False,3349.038,5.2018,n=100,1987,False,2.5,2.5e-21,2.3,zs,False,40935.826,46.816,,AME2020,mass_1.mas20,1/2(+),False,False
9,6,3,True,False,12538.4192,0.9217,False,False,,,True,False,-10362.4579,89.4429,True,False,11941.9153,0.1896,True,False,9592.5845,7.5618,False,False,,,True,False,-11274.4173,254.1269,True,False,12226.8651,0.1938,True,False,6094.8357,0.1864,True,True,38758.0,1004.0,True,False,4062.2175,0.1922,True,False,13943.7489,0.2064,Li,3,False,26790.191,9.026790191,0.2,False,13606.4541,0.2014,B-,False,5037.7685,0.0207,B-=100;B-n=50.5 10,1951,False,178.2,0.1782,0.4,ms,False,24954.905,0.186,-3n,AME2020,mass_1.mas20,3/2-,False,False
9,5,1,True,False,-17562.5203,2.138,False,False,,,True,False,-2307.6989,20.0001,True,False,-19644.4361,1.0028,True,False,7152.1533,0.0763,True,False,-27550.203,0.117,True,False,-597.242,0.093,True,False,2125.6257,0.0765,True,False,20563.1828,0.104,True,False,29302.6187,7.5599,True,False,1664.5388,0.0843,True,False,16886.3247,0.0898,Be,4,False,12183.062,9.012183062,0.082,False,-1068.0349,0.8994,B-,False,6462.6693,0.0085,IS=100,1921,False,stbl,inf,,,False,11348.451,0.076,,AME2020,mass_1.mas20,3/2-*,True,False
9,4,-1,False,False,,,False,False,,,True,False,-1687.3169,50.0081,True,False,-30719.1014,18.2653,True,False,7358.2952,0.9054,True,False,-15818.2898,0.9038,True,False,3976.0076,0.9026,True,False,-1094.4928,5.522,True,False,31402.7031,25.1665,True,False,17068.5609,0.9026,True,False,18576.4012,1.347,True,False,-185.8431,0.9033,B,5,False,13329.645,9.013329645,0.969,False,-16494.4854,2.3195,B-,False,6257.0713,0.1003,p=100,1940,False,800,7.999999999999999e-19,300,zs,False,12416.486,0.903,-,AME2020,mass_1.mas20,3/2-,False,False
9,3,-3,False,False,,,False,False,,,True,True,-10653.0,2003.0,False,False,,,True,False,11945.2255,25.2409,True,False,16680.3285,2.1369,True,False,16182.3397,5.8518,True,True,-13545.0,2003.0,False,False,,,True,False,1435.9685,2.1355,True,False,14224.616,18.3677,True,False,1299.5688,2.359,C,6,False,31037.202,9.031037202,2.293,False,,,B-,False,4337.4233,0.2374,B+=100;B+p=7.5 6;B+A=38.4 16,1964,False,126.5,0.1265,0.9,ms,False,28910.971,2.137,-pp,AME2020,mass_1.mas20,3/2-,False,False
10,8,6,True,False,36589.6601,92.8477,True,False,33498.4737,92.8477,False,False,,,True,False,16170.9236,92.8479,False,False,,,False,False,,,False,False,,,True,True,4926.0,1008.0,True,False,-1444.8277,92.8477,False,False,,,True,False,-190.0023,103.983,False,False,,,He,2,False,52815.306,10.052815306,99.676,False,16144.5191,93.7152,B-,False,2995.134,9.2848,2n=100,1994,False,260,2.6e-22,40,ys,False,49197.147,92.848,-nn,AME2020,mass_1.mas20,0+,False,False
10,7,4,True,False,21002.017,12.7213,True,False,-5747.3998,400.2022,True,False,-11248.0128,254.445,True,False,13632.8587,12.7216,True,False,12153.7518,12.7216,False,False,,,True,True,-10436.0,1004.0,True,False,11843.5553,14.7979,True,False,4035.813,12.7214,False,False,,,True,False,-26.4045,12.72,True,False,15172.1698,48.5141,Li,3,False,35483.453,10.035483453,13.656,False,20445.1411,12.7216,B-,False,4531.3512,1.2721,n=100,1975,False,2.0,2e-21,0.5,zs,False,33052.628,12.721,-n,AME2020,mass_1.mas20,"(1-,2-)",False,False
10,6,2,True,False,-3091.1864,0.1072,False,False,,,True,False,-7409.5245,0.0966,True,False,-7880.3173,0.9009,True,False,2372.4891,0.0935,True,False,-35617.3109,46.8165,True,False,-7819.2388,7.5599,True,False,2564.4371,0.0807,True,False,8476.8212,0.0883,True,False,33580.1385,0.1199,True,False,6812.2824,0.0519,True,False,19636.3895,0.2031,Be,4,False,13534.692,10.013534692,0.086,False,556.8759,0.0822,B-,False,6497.6306,0.0081,B-=100,1935,False,1.387,43770391200000.0,0.012,My,False,12607.487,0.081,,AME2020,mass_1.mas20,0+,False,False
10,5,0,True,False,-26749.4168,400.0,False,False,,,True,False,-4461.1857,0.015,True,False,-24931.6787,2.1367,True,False,17819.746,0.0384,True,False,-20193.2654,0.1869,True,False,2789.9082,0.0155,True,False,1145.6682,0.0724,True,False,27013.5945,1.0,True,False,23473.136,0.0496,True,False,8437.1932,0.9027,True,False,6586.8113,0.0779,B,5,False,12936.862,10.012936862,0.016,False,-3648.0623,0.0687,B-,False,6475.0835,0.0015,IS=19.65 44,1920,False,stbl,inf,,,False,12050.611,0.015,,AME2020,mass_1.mas20,3+*,True,False
10,4,-2,False,False,,,False,False,,,True,False,-5101.2767,5.4482,False,False,,,True,False,3487.911,1.0023,True,False,-2938.749,0.1039,True,False,5576.0775,0.0998,True,False,-7113.8246,25.1504,True,False,35508.2323,18.2431,True,False,3820.9409,0.0787,True,False,21283.6164,2.1378,True,False,4006.784,0.9054,C,6,False,16853.217,10.016853217,0.075,False,-23101.3545,400.0,B-,False,6032.0426,0.007,B+=100,1949,False,19.3011,19.3011,0.0015,s,False,15698.673,0.07,,AME2020,mass_1.mas20,0+,False,False
10,3,-4,False,False,,,False,False,,,True,True,-10945.0,2042.0,False,False,,,True,False,14446.5653,400.4158,True,False,19094.5706,400.001,True,False,16769.8769,400.7899,False,False,,,False,False,,,True,False,-1300.5163,400.0012,False,False,,,True,False,-2600.0851,400.0057,N,7,False,41653.54,10.04165354,429.417,False,,,B-,False,3643.6724,40.0,p ?,2002,False,143,1.43e-22,36,ys,False,38800.027,400.0,--,AME2020,mass_1.mas20,"1-,2-",False,False
11,8,5,True,False,32060.5504,0.6149,True,False,16362.6146,5.0381,True,True,-10832.0,1004.0,True,False,20049.454,0.6201,True,False,10503.2392,46.8205,False,False,,,False,False,,,True,False,13982.6309,0.6212,True,False,369.2826,0.6424,False,False,,,True,False,395.6871,12.7362,True,False,15757.8592,92.8497,Li,3,False,43723.581,11.043723581,0.66,False,20551.0898,0.6591,B-,False,4155.3817,0.0559,B-=100;B-n=86.3 9;B-2n=4.1 4;B-3n=1.9 2;B-A=1.7 3;B-d=0.0130 13;B-t=0.0093 8,1966,False,8.75,0.00875,0.06,ms,False,40728.259,0.615,x,AME2020,mass_1.mas20,3/2-*,True,False
11,7,3,True,False,9527.7718,0.2451,True,False,-27561.7445,60.0385,True,False,-8320.8746,7.5632,True,False,55.2401,0.2382,True,False,5933.0708,0.302,True,False,-36308.9489,92.848,True,False,-5786.1119,0.2537,True,False,4095.4195,0.2424,True,False,7313.9182,0.2497,True,False,35336.5997,46.8171,True,False,501.6358,0.2511,True,False,20164.4299,12.7236,Be,4,False,21661.08,11.02166108,0.255,False,11509.4607,0.238,B-,False,5952.5402,0.0216,B-=100;B-A=3.3 1;B-p=0.0013 3;B-n ?,1958,False,13.76,13.76,0.07,s,False,20177.169,0.238,,AME2020,mass_1.mas20,1/2+*,True,False
11,6,1,True,False,-15697.9358,5.0005,False,False,,,True,False,-8664.3124,0.0128,True,False,-15102.2829,0.0714,True,False,8030.0643,0.0774,True,False,-31673.8905,12.7213,True,False,-6631.6942,0.0489,True,False,8590.0917,0.0374,True,False,19891.4138,0.9027,True,False,30865.139,0.1867,True,False,11454.2206,0.0192,True,False,11228.7495,0.0818,B,5,False,9305.166,11.009305166,0.013,False,-1981.6889,0.0608,B-,False,6927.7323,0.0011,IS=80.35 44,1920,False,stbl,inf,,,False,8667.708,0.012,,AME2020,mass_1.mas20,3/2-*,True,False
11,5,-1,True,False,-37089.5162,60.0381,False,False,,,True,False,-7544.5165,0.0926,True,False,-36221.9485,400.0,True,False,8943.7182,0.9046,True,False,-9247.0606,0.1005,True,False,11354.1276,0.0693,True,False,-7408.1168,1.0016,True,False,34404.2103,2.1375,True,False,15276.996,0.097,True,False,13120.594,0.0922,True,False,8690.1847,0.0615,C,6,False,11432.597,11.011432597,0.064,False,-13716.2469,5.0008,B-,False,6676.4563,0.0054,B+=100,1934,False,20.3402,1220.412,0.0053,m,False,10649.397,0.06,,AME2020,mass_1.mas20,3/2-*,True,False
11,4,-3,False,False,,,False,False,,,True,False,-5735.8247,25.6426,False,False,,,True,False,6165.4797,5.4378,True,False,5026.0622,5.0005,True,False,7090.4771,5.0995,True,False,-5834.57,18.9159,False,False,,,True,False,2628.784,5.0813,True,False,22505.7016,400.0313,True,False,-1377.9999,5.0,N,7,False,26157.593,11.026157593,5.368,False,-23373.2693,60.2459,B-,False,5358.4023,0.4546,p=100,1974,False,585,5.85e-22,7,ys,False,24365.644,5.0,-p,AME2020,mass_1.mas20,1/2+,False,False
