entity,z,n,a,mass_region,shell_class,stability_class,actual_binding_energy_per_A_keV,guarded_blended_prediction_keV_per_a,signed_residual_keV_per_A,absolute_residual_keV_per_A,signed_residual_total_keV,absolute_residual_total_keV,directional_disagreement_keV_per_a,n_predictor,z_predictor
P-24,15,9,24,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,6165.0,6488.5158,323.5158000000001,323.5158000000001,7764.379200000003,7764.379200000003,162.51580000000013,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
C-12,6,6,12,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,7680.1446,7359.484332314073,-320.66026768592656,320.66026768592656,-3847.9232122311187,3847.9232122311187,178.23281666666753,SAME_PARITY_CUBIC_N2_N4,CROSS_ELEMENT_CUBIC_Z1_Z2
S-26,16,10,26,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,6525.0,6834.874100000001,309.8741000000009,309.8741000000009,8056.726600000024,8056.726600000024,414.1070000000009,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
F-14,9,5,14,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,5285.2091,5588.729541248404,303.5204412484036,303.5204412484036,4249.28617747765,4249.28617747765,956.2136500000006,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_LINEAR_Z1
Ar-29,18,11,29,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,6276.0,6575.0441,299.04410000000007,299.04410000000007,8672.278900000001,8672.278900000001,361.04410000000007,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
Ca-33,20,13,33,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,6657.0,6948.5433,291.5433000000003,291.5433000000003,9620.92890000001,9620.92890000001,360.5433000000003,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
O-13,8,5,13,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,5811.7636,5551.499279797415,-260.2643202025856,260.2643202025856,-3383.436162633613,3383.436162633613,399.61758333333364,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_CUBIC_Z1_Z2
N-25,7,18,25,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,5613.0,5864.328299999999,251.32829999999922,251.32829999999922,6283.20749999998,6283.20749999998,250.96350000000166,ONE_SIDED_SAME_PARITY_LEFT,CROSS_ELEMENT_ONE_SIDED_RIGHT
Li-13,3,10,13,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,3507.6307,3272.9948999999997,-234.63580000000047,234.63580000000047,-3050.265400000006,3050.265400000006,834.7558999999992,ONE_SIDED_SAME_PARITY_LEFT,CROSS_ELEMENT_ONE_SIDED_RIGHT
Ne-17,10,7,17,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,6640.4991,6416.092453276124,-224.4066467238763,224.4066467238763,-3814.912994305897,3814.912994305897,331.94348333333346,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_CUBIC_Z1_Z2
N-14,7,7,14,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,7475.6148,7260.841181004274,-214.77361899572588,214.77361899572588,-3006.8306659401624,3006.8306659401624,440.91633333333266,SAME_PARITY_CUBIC_N2_N4,CROSS_ELEMENT_CUBIC_Z1_Z2
O-15,8,7,15,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,7463.6915,7254.080913656197,-209.61058634380333,209.61058634380333,-3144.15879515705,3144.15879515705,21.211366666668255,SAME_PARITY_CUBIC_N2_N4,CROSS_ELEMENT_CUBIC_Z1_Z2
Sc-35,21,14,35,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,6828.0,7036.5425,208.54249999999956,208.54249999999956,7298.987499999985,7298.987499999985,82.54249999999956,ONE_SIDED_SAME_PARITY_RIGHT,CROSS_ELEMENT_ONE_SIDED_LEFT
Ne-18,10,8,18,LIGHT_A_LT_40,AT_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,7341.2577,7144.26162819339,-196.99607180661042,196.99607180661042,-3545.9292925189875,3545.9292925189875,145.06168333333426,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_CUBIC_Z1_Z2
C-21,6,15,21,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_OR_UNRESOLVED_HALF_LIFE,5674.0,5481.978046036662,-192.0219539633381,192.0219539633381,-4032.4610332301,4032.4610332301,205.54320000000007,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_LINEAR_Z1
C-20,6,14,20,LIGHT_A_LT_40,WITHIN_2_OF_MAGIC_Z_OR_N,RADIOACTIVE_WITH_NUMERIC_HALF_LIFE,5961.4356,5777.708520996615,-183.72707900338446,183.72707900338446,-3674.541580067689,3674.541580067689,259.27970000000005,SAME_PARITY_LINEAR_N2,CROSS_ELEMENT_LINEAR_Z1
